2002-2003,Wolfsburg
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
Maximilian Philipp,de GER,MF,24,13,2,6,"1,111",12.3,3,0,/en/players/061e8e23/Maximilian-Philipp,061e8e23,Maximilian-Phili
Admir Mehmedi,ch SUI,"MF,FW",18,8,2,0,820,9.1,0,0,/en/players/b500b384/Admir-Mehmedi,b500b384,Admir-Mehmedi
Josuha Guilavogui,fr FRA,"MF,DF",20,7,1,0,747,8.3,3,0,/en/players/e6c43eec/Josuha-Guilavogui,6c43eec,Josuha-Guilavogui
Marin Pongračić,hr CRO,DF,10,7,0,0,575,6.4,2,1,/en/players/2a6cd437/Marin-Pongracic,2a6cd437,Marin-Pongracic
João Victor Santos Sá,br BRA,"MF,FW",21,3,1,1,469,5.2,0,0,/en/players/1a1033a1/Joao-Victor-Santos-Sa,1a1033a1,Joao-Victor-Santos-S
Pavao Pervan,at AUT,GK,2,2,0,0,180,2.0,0,0,/en/players/c89e8aae/Pavao-Pervan,c89e8aae,Pavao-Perv
Bartosz Bialek,pl POL,"MF,FW",19,1,0,2,270,3.0,1,0,/en/players/763b8b37/Bartosz-Bialek,763b8b37,Bartosz-Bialek
Daniel Ginczek,de GER,"FW,MF",11,1,0,0,215,2.4,0,0,/en/players/e5f63987/Daniel-Ginczek,5f63987,Daniel-Ginczek
Felix Klaus,de GER,"DF,MF",6,1,0,0,137,1.5,0,0,/en/players/aeda1f69/Felix-Klaus,da1f69,Felix-Klau
Yunus Mallı,tr TUR,MF,1,1,0,0,58,0.6,0,0,/en/players/f3722c97/Yunus-Malli,f3722c97,Yunus-Malli
Tim Siersleben,de GER,DF,1,0,0,0,34,0.4,0,0,/en/players/f761c901/Tim-Siersleben,f761c901,Tim-Siersleb
William,br BRA,MF,2,0,0,0,2,0.0,0,0,/en/players/d4d0a9ad/William,d4d0a9ad,William
Omar Marmoush,eg EGY,MF,1,0,0,0,1,0.0,0,0,/en/players/0e0102eb/Omar-Marmoush,0e0102eb,Omar-Marmoush
Jeffrey Bruma,nl NED,DF,0,0,,,,,,,/en/players/fbffc4b1/Jeffrey-Bruma,fbffc4b1,Jeffrey-Brum
Lino Kasten,de GER,GK,0,0,,,,,,,/en/players/05f6fd87/Lino-Kasten,05f6fd87,Lino-Kast
Niklas Klinger,de GER,GK,0,0,,,,,,,/en/players/74d654b4/Niklas-Klinger,74d654b4,Niklas-Kling
﻿2021-2022,Wolfsburg
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Maximilian Arnold,de GER,MF,34,34,2,4,"2,994",33.3,4,0,/en/players/86e119e0/Maximilian-Arnold,86e119e0,Maximilian-Arnold
John Brooks,us USA,DF,31,29,1,1,"2,615",29.1,2,0,/en/players/e27da244/John-Brooks,27da244,John-Brook
Maxence Lacroix,fr FRA,DF,29,29,0,0,"2,491",27.7,5,3,/en/players/277c49ed/Maxence-Lacroix,277c49ed,Maxence-Lacroix
Koen Casteels,be BEL,GK,28,28,0,0,"2,520",28.0,1,0,/en/players/db401046/Koen-Casteels,db401046,Koen-Cast
Ridle Baku,de GER,"DF,MF",34,28,5,3,"2,446",27.2,4,0,/en/players/442b56fa/Ridle-Baku,442b56fa,Ridle-Baku
Sebastiaan Bornauw,be BEL,DF,27,23,0,1,"2,007",22.3,4,0,/en/players/01834aa0/Sebastiaan-Bornauw,01834aa0,Sebastiaan-Bornauw
Jérôme Roussillon,fr FRA,DF,26,18,0,1,"1,775",19.7,5,0,/en/players/13203c45/Jerome-Roussillon,13203c45,Jerome-Roussillo
Lukas Nmecha,de GER,"FW,MF",25,18,0,8,"1,627",18.1,5,0,/en/players/0cc5f4a5/Lukas-Nmecha,0cc5f4a5,Lukas-Nmech
Yannick Gerhardt,de GER,"MF,DF",27,17,3,1,"1,574",17.5,2,0,/en/players/62ab9184/Yannick-Gerhardt,62ab9184,Yannick-Gerhardt
Wout Weghorst,nl NED,FW,18,17,1,6,"1,553",17.3,2,0,/en/players/c4e87b8b/Wout-Weghorst,c4e87b8b,Wout-Weghorst
Kevin Mbabu,ch SUI,DF,24,14,0,0,"1,391",15.5,4,0,/en/players/493924a7/Kevin-Mbabu,493924a7,Kevin-Mbabu
Jonas Wind,dk DEN,"FW,MF",14,14,1,5,"1,180",13.1,0,0,/en/players/2077ae86/Jonas-Wind,2077ae86,Jonas-Wind
Max Kruse,de GER,"MF,FW",14,14,1,7,"1,128",12.5,0,0,/en/players/f9446dcd/Max-Kruse,f9446dcd,Max-Kru
Xaver Schlager,at AUT,MF,14,13,1,0,"1,040",11.6,2,0,/en/players/8f056768/Xaver-Schlager,8f056768,Xaver-Schlag
Renato Steffen,ch SUI,"MF,DF",20,13,1,0,967,10.7,6,0,/en/players/dd669209/Renato-Steffen,dd669209,Renato-Steff
Aster Vranckx,be BEL,MF,24,12,0,2,"1,141",12.7,2,0,/en/players/f86cd5df/Aster-Vranckx,f86cd5df,Aster-Vranckx
Maximilian Philipp,de GER,MF,22,12,4,1,963,10.7,2,0,/en/players/061e8e23/Maximilian-Philipp,061e8e23,Maximilian-Phili
Josuha Guilavogui,fr FRA,"MF,DF",15,10,0,0,942,10.5,4,0,/en/players/e6c43eec/Josuha-Guilavogui,6c43eec,Josuha-Guilavogui
Luca Waldschmidt,de GER,MF,14,9,0,1,717,8.0,2,0,/en/players/e5a35ae9/Luca-Waldschmidt,5a35ae9,Luca-Waldschmidt
Dodi Lukebakio,be BEL,MF,19,7,2,1,882,9.8,2,0,/en/players/0c61c77c/Dodi-Lukebakio,0c61c77c,Dodi-Lukebakio
Pavao Pervan,at AUT,GK,6,6,0,0,540,6.0,0,0,/en/players/c89e8aae/Pavao-Pervan,c89e8aae,Pavao-Perv
Paulo Otávio,br BRA,"DF,MF",7,5,1,0,362,4.0,0,0,/en/players/1cbe4984/Paulo-Otavio,1cbe4984,Paulo-Otavio
Mickey van de Ven,nl NED,DF,5,2,1,0,189,2.1,0,0,/en/players/8fe2a392/Mickey-van-de-Ven,8fe2a392,Mickey-van-de-V
Felix Kalu Nmecha,de GER,"MF,FW",16,1,0,0,323,3.6,2,0,/en/players/091c86e2/Felix-Kalu-Nmecha,091c86e2,Felix-Kalu-Nmech
Bartosz Bialek,pl POL,"FW,DF",12,1,0,0,178,2.0,1,0,/en/players/763b8b37/Bartosz-Bialek,763b8b37,Bartosz-Bialek
Omar Marmoush,eg EGY,MF,2,0,0,0,24,0.3,0,0,/en/players/0e0102eb/Omar-Marmoush,0e0102eb,Omar-Marmoush
Josip Brekalo,hr CRO,MF,1,0,1,0,21,0.2,0,0,/en/players/d4a2533d/Josip-Brekalo,d4a2533d,Josip-Brekalo
Kevin Paredes,us USA,"FW,DF",2,0,0,0,16,0.2,0,0,/en/players/5c50fdbc/Kevin-Paredes,5c50fdbc,Kevin-Pared
Daniel Ginczek,de GER,"MF,FW",2,0,0,0,13,0.1,0,0,/en/players/e5f63987/Daniel-Ginczek,5f63987,Daniel-Ginczek
Admir Mehmedi,ch SUI,DF,1,0,0,0,4,0.0,0,0,/en/players/b500b384/Admir-Mehmedi,b500b384,Admir-Mehmedi
Niklas Klinger,de GER,GK,0,0,,,,,,,/en/players/74d654b4/Niklas-Klinger,74d654b4,Niklas-Kling
Jannis Lang,de GER,DF,0,0,,,,,,,/en/players/cd5e787a/Jannis-Lang,cd5e787a,Jannis-Lang
Marin Pongračić,hr CRO,DF,0,0,,,,,,,/en/players/2a6cd437/Marin-Pongracic,2a6cd437,Marin-Pongracic
Gil-Linnart Walther,de GER,FW,0,0,,,,,,,/en/players/9cd6a9f9/Gil-Linnart-Walther,9cd6a9f9,Gil-Linnart-Walth

